"gene_id","baseMean_FvIAC_HT","baseMean_FvIAC_VF","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FVEG_00004",52.9951823411131,113.669058887611,83.3321206143619,-1.10281159397807,0.993564175313976,-1.10995507021936,0.267018387944171,0.460006521978816
"FVEG_00005",943.399295610145,643.343933230053,793.371614420099,0.552780093519002,0.771486645378584,0.716512848058104,0.47367473704764,0.662422566718757
"FVEG_00011",24.7470296482329,1710.03277438356,867.389902015897,-6.11235691701061,1.0223831000214,-5.9785386875846,2.25148146500158e-09,6.2591184727044e-08
"FVEG_00016",14.6214594210812,365.92493817932,190.273198800201,-4.64805639176742,1.0448574771752,-4.44850756519786,8.64690041728111e-06,0.00010520777775615
"FVEG_00017",13.4571808917362,57.2164371722389,35.3368090319875,-2.08964758754188,1.3158186038541,-1.58809700776474,0.112264404844527,0.251348502283599
"FVEG_00018",19.130281243079,19.213619276346,19.1719502597125,-0.0110881364971095,1.57691657387323,-0.00703153019051272,0.994389696853367,0.997433968831487
"FVEG_00026",3.81274434397412,96.9113961436279,50.362070243801,-4.67168413469055,1.47173842371143,-3.17426253159138,0.00150217753219619,0.0086131104252299
"FVEG_00033",54.4360107530826,56.1340734707179,55.2850421119003,-0.043169689705554,1.08516234022674,-0.0397817802049174,0.968267102021951,0.985256561669591
"FVEG_00037",16.0247479613178,43.985936087488,30.0053420244029,-1.46030378316236,0.917003632794337,-1.59247328029929,0.111278402167774,0.249936086371973
"FVEG_00076",26.0495200138069,7113.78108731167,3569.91530366274,-8.08195841374957,0.538958392245747,-14.9955145518255,7.85515664155963e-51,5.54332361766677e-48
"FVEG_00077",43.9836577120486,11504.3996627726,5774.19166024232,-8.02954865910178,0.678322659338286,-11.8373587385902,2.50209059457359e-32,6.0405734512153e-30
"FVEG_00078",5.70610257030358,5381.42957987912,2693.56784122471,-9.8389790957414,0.671133183344039,-14.6602482784668,1.15848576055177e-48,7.08529891153464e-46
"FVEG_00079",3.82120566518537,3166.44066023929,1585.13093295224,-9.71367178524695,0.949453612255681,-10.2308018631574,1.44319405611683e-24,2.06872847981496e-22
"FVEG_00089",2.22122160847462,35.8603464600518,19.0407840342632,-4.05717289949257,1.42608697883903,-2.84496875695163,0.00444157793601552,0.0208424736496196
"FVEG_00092",193.154255632865,166.732415380567,179.943335506716,0.21233179245393,1.08913445898715,0.194954618047242,0.845428475406843,0.921803347550301
"FVEG_00093",196.974772157186,644.692137023151,420.833454590169,-1.71144813359089,0.772292120523768,-2.21606318141662,0.026687175375342,0.085544425888675
"FVEG_00094",99.7675218952659,1372.66887609824,736.218198996754,-3.78246758460313,1.00415031165241,-3.76683404935538,0.000165330818657635,0.00135787370668321
"FVEG_00098",37.0895529258064,235.240954785849,136.165253855828,-2.6718551447413,0.741356680733033,-3.60400764460563,0.000313347833224446,0.00233332225811775
"FVEG_00112",33.6988441045405,51.7017503982004,42.7002972513705,-0.621035708596186,0.879572293990621,-0.706065564865107,0.480147364966759,0.668175443386672
"FVEG_00113",54.1266014511628,154.60624040178,104.366420926471,-1.51780387649924,0.508939678031617,-2.98228639270084,0.00286104222093153,0.0147043144732918
"FVEG_00114",96.2462403031984,15.2127145073296,55.729477405264,2.67663712053274,0.726659710410681,3.68348084004823,0.000230070584430069,0.00180091087163947
"FVEG_00116",1930.61817518989,402.334967506285,1166.47657134809,2.26302492893081,0.531899258076881,4.25461192992247,2.09411886508696e-05,0.000233148622188201
