"gene_id","baseMean_FvIAC_HT","baseMean_FvIAC_VF","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FVEG_00166",3825.86420147952,2.62367205964249,1914.24393676958,10.495590819812,1.13877868266969,9.21653257084752,3.06862871455022e-20,3.09358239860261e-18
"FVEG_00860",910.300728347527,4.42135245501056,457.361040401269,7.66759368778903,1.90021047781227,4.03512862249702,5.45723941334181e-05,0.000526442843091459
"FVEG_06728",24299.1491020083,141.689082638513,12220.4190923234,7.4234295808483,1.08331484194727,6.85251350152707,7.2563535376557e-12,2.90697761373159e-10
"FVEG_16600",999.023416252606,6.26786164047107,502.645638946539,7.3646840249917,1.18714773623754,6.20367945807049,5.5158075979948e-10,1.69805432563773e-08
"FVEG_07493",16668.0293629226,101.506279333801,8384.76782112821,7.35702659177333,0.791888207318863,9.29048636382957,1.53584892455107e-20,1.60112250384449e-18
"FVEG_02732",696.11793312854,5.81473203752836,350.966332583034,6.90499631543846,0.973665088975086,7.0917571078849,1.32419781001756e-12,6.10461844678447e-11
"FVEG_12259",142.272231466011,1.52981501394881,71.9010232399798,6.74490560731437,1.16199363447246,5.80459772516444,6.4520720576739e-09,1.61724888134154e-07
"FVEG_01580",3164.87807769002,38.3931767721376,1601.63562723108,6.37081123203927,1.01820176530938,6.25692416679668,3.92644212704556e-10,1.25499105999485e-08
"FVEG_12006",4363.85464428762,53.4490241652595,2208.65183422644,6.3533379575721,1.75926535446231,3.6113585375038,0.000304597216992482,0.00227184948673905
"FVEG_15840",162.04792628429,1.89368402726102,81.9708051557755,6.34197664628581,1.30254474814295,4.86891268444147,1.12213973277856e-06,1.73600504359367e-05
"FVEG_13391",8990.29322713768,115.621880845216,4552.95755399145,6.28201841998646,1.85693189074008,3.38300960380554,0.000716961250642411,0.00462220837202634
"FVEG_13850",483.641046897159,6.54039838276487,245.090722639962,6.17911949211467,1.25931120970044,4.90674540535896,9.26001069191458e-07,1.44475064774871e-05
"FVEG_08321",895.373886405323,12.4822031460386,453.928044775681,6.15864128066377,0.903780724971748,6.81430916869387,9.47178112578548e-12,3.71342393367333e-10
"FVEG_13575",28440.2886670124,403.482394620825,14421.8855308166,6.13962481362936,0.445426352337347,13.7837035941229,3.19453765728627e-43,1.54245728778654e-40
"FVEG_13883",391.966003849911,6.13913903857177,199.052571444242,6.01245422727956,2.19966176697333,2.73335397175745,0.00626929162941614,0.027584883169431
"FVEG_13638",142.075375439656,2.17839608533019,72.1268857624931,5.93626582214645,1.11507479343064,5.32364811501383,1.01706565276295e-07,1.96432848388365e-06
"FVEG_11443",591.427738869983,10.0082033438966,300.71797110694,5.89380683706735,2.26609469950524,2.60086519700794,0.00929889857801581,0.0381120088064513
"FVEG_02718",10517.0879756845,181.948224056175,5349.51809987036,5.85540777473902,0.786273764704018,7.44703440148891,9.54617338274104e-14,5.18204701853647e-12
"FVEG_15959",182.911605758217,3.05360024624547,92.9826030022312,5.82979327065546,0.942386440255594,6.18620241296586,6.16308628460329e-10,1.86601166914028e-08
"FVEG_09360",154.964777006608,2.98266584576518,78.9737214261865,5.78497966028822,1.27701609350647,4.53007576780308,5.89625372838359e-06,7.43665557232094e-05
"FVEG_03160",95.332364298166,1.69820592599497,48.5152851120805,5.72818130404664,1.32890785946213,4.31044279199693,1.62927975817605e-05,0.000186139632646414
"FVEG_05558",282.962499056147,5.13607043025079,144.049284743199,5.72499804714596,1.03060428310256,5.5549915142127,2.77625247629013e-08,6.00968760602867e-07
"FVEG_13208",998.130666359996,19.7358046916426,508.933235525819,5.66589194509258,2.03864027123318,2.77925047642921,0.00544844948339132,0.0245984623822008
"FVEG_12850",1717.02252989735,34.7461600250903,875.884344961218,5.63437029979808,0.811326179597519,6.94464253895168,3.79419812699743e-12,1.60405408373615e-10
"FVEG_08364",139.508863791987,2.75140446454595,71.1301341282666,5.63010994397204,1.2177108541469,4.62351955293721,3.77283159787215e-06,5.03080771495335e-05
"FVEG_16107",1618.65604114763,34.9673349823876,826.81168806501,5.53130463861329,1.75335759622793,3.15469283077965,0.00160667164700193,0.00914935176262924
"FVEG_11689",296.189914735103,6.5520132574112,151.370963996257,5.48513368308155,1.34302754366877,4.08415576355025,4.42373510641172e-05,0.000438738874229418
"FVEG_05521",29249.5873409784,676.769481221353,14963.1784110999,5.43398862388637,1.18852515846342,4.57204341463978,4.82990832078343e-06,6.2672671760774e-05
"FVEG_12675",1250.51077378338,30.3877730657631,640.449273424573,5.36787378945971,0.757395895077528,7.08727605251973,1.367773825642e-12,6.27397853821985e-11
"FVEG_08498",86.1496005543523,2.00967943440438,44.0796399943784,5.34776954293279,1.39720941866337,3.82746456722908,0.000129470014461512,0.0011018162455194
"FVEG_07523",313.265894369886,8.09826056458728,160.682077467237,5.26107721542904,1.15381547135001,4.55972150319097,5.12215041293225e-06,6.59054809091731e-05
"FVEG_00849",13841.8354799471,380.392847678885,7111.11416381298,5.18622191001381,0.546696502066836,9.4864735559983,2.38982328559197e-21,2.57932221435539e-19
"FVEG_07491",81123.7600785733,2307.60066967323,41715.6803741233,5.13582455742362,0.970743591461019,5.29060876898908,1.21909894771949e-07,2.33000286382888e-06
"FVEG_12793",45.8646703919813,1.30260414408783,23.5836372680346,5.12314695366793,1.60579942942455,3.19040277371617,0.00142074636389997,0.00825977638936525
"FVEG_06008",22451.513906785,732.035905677991,11591.7749062315,4.93911342009584,1.09853782007488,4.49607954304127,6.92178510640537e-06,8.55801301430766e-05
"FVEG_15780",48.8748772506543,1.53604306482542,25.2054601577398,4.91858524423997,1.57542746078768,3.12206392656174,0.0017958793822582,0.0100521033879419
"FVEG_17619",247.275885300953,8.15820290659425,127.717044103774,4.91810736061224,0.799287228889895,6.15311640527879,7.59749981241839e-10,2.25564606081315e-08
"FVEG_11444",3985.00375930746,132.917843016994,2058.96080116223,4.90779299536224,1.18100088605734,4.15562177243274,3.24404106008423e-05,0.000335144512220864
"FVEG_01369",2545.20818501183,88.5943961711873,1316.90129059151,4.84136390817859,0.739001305119541,6.5512251123771,5.70669566324743e-11,2.04504789119656e-09
"FVEG_02183",3091.90444558661,108.77505924643,1600.33975241652,4.83010890297512,0.956582893705668,5.0493364817177,4.43347239225294e-07,7.47659480267067e-06
"FVEG_04960",218.7075709258,7.61015143734714,113.158861181573,4.81258467441048,0.801266932075399,6.00621900362864,1.89899645956135e-09,5.32764327829229e-08
"FVEG_07411",2060.602548473,77.6842617295258,1069.14340510126,4.73209902317259,0.671883907985847,7.04303074821115,1.88102697723661e-12,8.25671841587016e-11
"FVEG_04529",66.6014502234568,2.51209929300547,34.5567747582311,4.67207644787431,1.45664376242576,3.20742556855073,0.00133928712302271,0.00787099299590667
"FVEG_04031",1918.78622422399,76.1902638145332,997.488244019259,4.65333728842106,0.513495836763229,9.06207403306893,1.27993278694283e-19,1.23601088288563e-17
"FVEG_12433",86.1255705164588,3.51930590651823,44.8224382114885,4.62301905753072,1.12213214007711,4.11985263804409,3.79114788148869e-05,0.000384309289113561
"FVEG_14642",145.865576000032,6.05114762012181,75.9583618100769,4.61887045718111,1.15513614008479,3.99855073086197,6.3731522115453e-05,0.000602755653491924
"FVEG_17001",3225.64853095196,131.782434524221,1678.71548273809,4.61358010829313,0.572305766134928,8.06139022405974,7.54316147492512e-16,5.16425099783306e-14
"FVEG_06759",228.804982560392,9.31735841647829,119.061170488435,4.61047806962434,1.38491542725116,3.32906831630535,0.000871370278604185,0.00545289968343437
"FVEG_11641",6787.62356959993,292.984684626853,3540.30412711339,4.53529177885465,0.587987767043084,7.71324172552443,1.22661445801086e-14,7.46928502299568e-13
"FVEG_02343",3406.78678150074,150.803707570186,1778.79524453546,4.4996363005419,1.12993616889127,3.98220397259881,6.82791419121236e-05,0.000639176375410023
"FVEG_02429",156.303155445923,6.96679654016525,81.6349759930442,4.48373327028354,1.36625744889854,3.28176309223292,0.00103160237736677,0.00629668676644226
"FVEG_15854",67.1379787365213,2.98840143057973,35.0631900835505,4.4647010094372,1.27167001584365,3.51089587220883,0.00044659929679157,0.00311329935316555
"FVEG_13574",1916.89265466946,87.4660437737605,1002.17934922161,4.45725507388354,0.811902035291026,5.48989272121462,4.02177940645681e-08,8.37518983449455e-07
"FVEG_11704",345.20700059643,15.9106156433913,180.558808119911,4.42590285581771,1.02818036908845,4.30459770374878,1.67289451062478e-05,0.000190411094794934
"FVEG_05068",2418.47319788498,112.759761769289,1265.61647982714,4.42245833781357,0.65844853349466,6.71648293351304,1.86163101105000e-11,6.91441412768127e-10
"FVEG_07216",3810.66933494361,191.420783904638,2001.04505942413,4.31755388347058,0.779983442823453,5.53544299330447,3.10442696982361e-08,6.63063269663752e-07
"FVEG_15498",166.772184117359,8.37559120166009,87.5738876595095,4.29422614803894,1.1520599461343,3.72743290177572,0.000193440037068818,0.00155668324567486
"FVEG_00946",395.128529469877,20.2561462531306,207.692337861504,4.27949062952181,0.867038706695316,4.93575499741289,7.98412860067695e-07,1.26943493557384e-05
