GO.ID,Term,Annotated,Significant,Expected,Classic,p.adj
GO:0006811,monoatomic ion transport,341,25,17.48,0.04042,0.046
GO:1905039,carboxylic acid transmembrane transport,91,9,4.66,0.04187,0.0471
GO:0006869,lipid transport,51,6,2.61,0.04432,0.04775
GO:0046015,regulation of transcription by glucose,16,3,0.82,0.04535,0.04775
GO:0006790,sulfur compound metabolic process,152,13,7.79,0.04612,0.04775
GO:0009071,serine family amino acid catabolic proce...,7,2,0.36,0.0463,0.04775
GO:0015936,coenzyme A metabolic process,7,2,0.36,0.0463,0.04775
GO:0034635,glutathione transport,7,2,0.36,0.0463,0.04775
GO:0048259,regulation of receptor-mediated endocyto...,7,2,0.36,0.0463,0.04775
GO:0048260,positive regulation of receptor-mediated...,7,2,0.36,0.0463,0.04775
GO:0006865,amino acid transport,52,6,2.67,0.04805,0.04854
GO:0044242,cellular lipid catabolic process,52,6,2.67,0.04805,0.04854
GO:0070887,cellular response to chemical stimulus,450,31,23.07,0.04962,0.04962
